Enfermedad;Indicador;Year;Pais;Region;Genero;Area;Numeric;Lim_inf;Lim_sup
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2010;Colombia;Región de las Américas;Total;;11.14331;9.56298;12.9925
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2010;Colombia;Región de las Américas;Hombres;;11.93885;10.35229;13.80107
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2010;Colombia;Región de las Américas;Mujeres;;10.47341;8.89703;12.3139
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2011;Colombia;Región de las Américas;Total;;10.54264;9.0199;12.37239
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2011;Colombia;Región de las Américas;Hombres;;11.36418;9.82046;13.21519
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2011;Colombia;Región de las Américas;Mujeres;;9.84438;8.33913;11.65745
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2012;Colombia;Región de las Américas;Total;;10.34542;8.82435;12.20039
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2012;Colombia;Región de las Américas;Hombres;;11.15287;9.60407;13.0275
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2012;Colombia;Región de las Américas;Mujeres;;9.6583;8.16051;11.49788
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2013;Colombia;Región de las Américas;Total;;10.24444;8.68728;12.15424
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2013;Colombia;Región de las Américas;Hombres;;11.05248;9.4632;12.97966
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2013;Colombia;Región de las Américas;Mujeres;;9.55436;8.02438;11.4505
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2014;Colombia;Región de las Américas;Total;;10.19343;8.56882;12.18964
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2014;Colombia;Región de las Américas;Hombres;;10.87131;9.21879;12.87911
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2014;Colombia;Región de las Américas;Mujeres;;9.61713;8.01571;11.60505
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2015;Colombia;Región de las Américas;Total;;10.3345;8.59988;12.46239
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2015;Colombia;Región de las Américas;Hombres;;11.22905;9.43936;13.39796
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2015;Colombia;Región de las Américas;Mujeres;;9.56616;7.87905;11.65925
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2016;Colombia;Región de las Américas;Total;;10.31253;8.45344;12.57033
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2016;Colombia;Región de las Américas;Hombres;;11.30922;9.37643;13.6274
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2016;Colombia;Región de las Américas;Mujeres;;9.45764;7.66202;11.66396
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2017;Colombia;Región de las Américas;Total;;10.19725;7.7978;13.13623
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2017;Colombia;Región de las Américas;Hombres;;11.21107;8.56127;14.39804
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2017;Colombia;Región de las Américas;Mujeres;;9.33128;7.14808;12.05498
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2018;Colombia;Región de las Américas;Total;;9.83923;7.01772;13.3884
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2018;Colombia;Región de las Américas;Hombres;;10.83817;7.6833;14.77246
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2018;Colombia;Región de las Américas;Mujeres;;8.98787;6.45333;12.2024
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2019;Colombia;Región de las Américas;Total;;9.73468;6.71688;13.64639
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2019;Colombia;Región de las Américas;Hombres;;10.77118;7.37633;15.15564
Las enfermedades no transmisibles;Probabilidad de mortalidad prematura por ENT;2019;Colombia;Región de las Américas;Mujeres;;8.85334;6.15947;12.35457
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2000;Colombia;Región de las Américas;Total;;58.0425723;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2000;Colombia;Región de las Américas;Hombres;;46.9736177;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2000;Colombia;Región de las Américas;Mujeres;;75.0841963;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2001;Colombia;Región de las Américas;Total;;58.0270414;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2001;Colombia;Región de las Américas;Hombres;;46.8790354;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2001;Colombia;Región de las Américas;Mujeres;;75.0605763;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2002;Colombia;Región de las Américas;Total;;58.1330087;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2002;Colombia;Región de las Américas;Hombres;;46.4535738;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2002;Colombia;Región de las Américas;Mujeres;;76.0031657;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2003;Colombia;Región de las Américas;Total;;62.7557369;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2003;Colombia;Región de las Américas;Hombres;;52.2354346;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2003;Colombia;Región de las Américas;Mujeres;;77.6522929;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2004;Colombia;Región de las Américas;Total;;63.5226773;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2004;Colombia;Región de las Américas;Hombres;;53.2190854;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2004;Colombia;Región de las Américas;Mujeres;;78.1203923;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2005;Colombia;Región de las Américas;Total;;65.5916626;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2005;Colombia;Región de las Américas;Hombres;;56.2189277;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2005;Colombia;Región de las Américas;Mujeres;;78.5151111;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2006;Colombia;Región de las Américas;Total;;66.6302657;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2006;Colombia;Región de las Américas;Hombres;;56.9707813;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2006;Colombia;Región de las Américas;Mujeres;;79.7931656;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2007;Colombia;Región de las Américas;Total;;67.6345045;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2007;Colombia;Región de las Américas;Hombres;;57.9288888;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2007;Colombia;Región de las Américas;Mujeres;;80.6455054;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2008;Colombia;Región de las Américas;Total;;68.3932976;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2008;Colombia;Región de las Américas;Hombres;;58.4223717;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2008;Colombia;Región de las Américas;Mujeres;;81.6580888;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2009;Colombia;Región de las Américas;Total;;66.671532;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2009;Colombia;Región de las Américas;Hombres;;56.0531128;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2009;Colombia;Región de las Américas;Mujeres;;81.1462708;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2010;Colombia;Región de las Américas;Total;;68.3482988;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2010;Colombia;Región de las Américas;Hombres;;58.0380031;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2010;Colombia;Región de las Américas;Mujeres;;82.0353894;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2011;Colombia;Región de las Américas;Total;;69.2595962;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2011;Colombia;Región de las Américas;Hombres;;59.3091347;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2011;Colombia;Región de las Américas;Mujeres;;82.3646074;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2012;Colombia;Región de las Américas;Total;;70.0296669;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2012;Colombia;Región de las Américas;Hombres;;60.1487316;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2012;Colombia;Región de las Américas;Mujeres;;82.9613053;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2013;Colombia;Región de las Américas;Total;;70.9164721;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2013;Colombia;Región de las Américas;Hombres;;61.424225;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2013;Colombia;Región de las Américas;Mujeres;;83.251466;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2014;Colombia;Región de las Américas;Total;;72.6741587;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2014;Colombia;Región de las Américas;Hombres;;63.4193822;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2014;Colombia;Región de las Américas;Mujeres;;84.1891245;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2015;Colombia;Región de las Américas;Total;;73.3244689;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2015;Colombia;Región de las Américas;Hombres;;64.5634385;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2015;Colombia;Región de las Américas;Mujeres;;84.1912829;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2016;Colombia;Región de las Américas;Total;;73.4132435;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2016;Colombia;Región de las Américas;Hombres;;64.9485238;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2016;Colombia;Región de las Américas;Mujeres;;84.0026977;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2017;Colombia;Región de las Américas;Total;;74.2857653;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2017;Colombia;Región de las Américas;Hombres;;65.9682332;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2017;Colombia;Región de las Américas;Mujeres;;84.526136;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2018;Colombia;Región de las Américas;Total;;74.9389167;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2018;Colombia;Región de las Américas;Hombres;;66.9869022;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2018;Colombia;Región de las Américas;Mujeres;;84.7114061;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2019;Colombia;Región de las Américas;Total;;75.6457144;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2019;Colombia;Región de las Américas;Hombres;;68.0242531;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes totales que se deben a las ENT;2019;Colombia;Región de las Américas;Mujeres;;84.9554991;sin datos;sin datos
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2000;Colombia;Región de las Américas;Total;;44.8734;39.01109;50.41124
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2000;Colombia;Región de las Américas;Hombres;;45.01938;39.2389;50.59476
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2000;Colombia;Región de las Américas;Mujeres;;44.7328;38.79119;50.23411
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2001;Colombia;Región de las Américas;Total;;43.68326;37.82403;49.20276
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2001;Colombia;Región de las Américas;Hombres;;43.97418;38.16303;49.5329
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2001;Colombia;Región de las Américas;Mujeres;;43.40564;37.50036;48.88688
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2002;Colombia;Región de las Américas;Total;;43.06502;37.17505;48.56208
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2002;Colombia;Región de las Américas;Hombres;;43.18949;37.27964;48.74419
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2002;Colombia;Región de las Américas;Mujeres;;42.94862;37.07733;48.39134
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2003;Colombia;Región de las Américas;Total;;41.9903;36.21792;47.42366
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2003;Colombia;Región de las Américas;Hombres;;42.15499;36.42647;47.58821
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2003;Colombia;Región de las Américas;Mujeres;;41.83344;36.01911;47.26684
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2004;Colombia;Región de las Américas;Total;;41.7886;36.01486;47.27031
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2004;Colombia;Región de las Américas;Hombres;;42.43566;36.67797;47.90464
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2004;Colombia;Región de las Américas;Mujeres;;41.16408;35.37582;46.65696
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2005;Colombia;Región de las Américas;Total;;40.77855;35.07342;46.2899
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2005;Colombia;Región de las Américas;Hombres;;41.34792;35.65139;46.84007
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2005;Colombia;Región de las Américas;Mujeres;;40.21643;34.50362;45.74604
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2006;Colombia;Región de las Américas;Total;;40.10836;34.40725;45.64326
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2006;Colombia;Región de las Américas;Hombres;;40.81097;35.11128;46.32388
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2006;Colombia;Región de las Américas;Mujeres;;39.42477;33.72363;44.98001
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2007;Colombia;Región de las Américas;Total;;39.35353;33.62159;44.94609
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2007;Colombia;Región de las Américas;Hombres;;40.1439;34.3602;45.74325
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2007;Colombia;Región de las Américas;Mujeres;;38.59246;32.91303;44.17626
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2008;Colombia;Región de las Américas;Total;;38.13194;32.43477;43.73863
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2008;Colombia;Región de las Américas;Hombres;;38.79913;33.03494;44.41562
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2008;Colombia;Región de las Américas;Mujeres;;37.49691;31.86567;43.09268
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2009;Colombia;Región de las Américas;Total;;38.20088;32.43559;43.87432
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2009;Colombia;Región de las Américas;Hombres;;38.61045;32.7585;44.27938
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2009;Colombia;Región de las Américas;Mujeres;;37.81522;32.13262;43.49246
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2010;Colombia;Región de las Américas;Total;;37.43996;31.66671;43.15882
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2010;Colombia;Región de las Américas;Hombres;;38.02026;32.13996;43.75661
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2010;Colombia;Región de las Américas;Mujeres;;36.89494;31.22426;42.59602
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2011;Colombia;Región de las Américas;Total;;36.95761;31.16181;42.79474
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2011;Colombia;Región de las Américas;Hombres;;37.69136;31.79412;43.52642
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2011;Colombia;Región de las Américas;Mujeres;;36.26176;30.56503;42.09925
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2012;Colombia;Región de las Américas;Total;;36.40171;30.5937;42.31973
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2012;Colombia;Región de las Américas;Hombres;;36.92013;31.02652;42.811
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2012;Colombia;Región de las Américas;Mujeres;;35.90979;30.18456;41.85324
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2013;Colombia;Región de las Américas;Total;;36.10242;30.1992;42.16071
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2013;Colombia;Región de las Américas;Hombres;;36.62097;30.65045;42.634
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2013;Colombia;Región de las Américas;Mujeres;;35.60525;29.76797;41.70688
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2014;Colombia;Región de las Américas;Total;;35.09524;29.1192;41.30098
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2014;Colombia;Región de las Américas;Hombres;;35.6053;29.53092;41.80632
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2014;Colombia;Región de las Américas;Mujeres;;34.61717;28.73485;40.82664
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2015;Colombia;Región de las Américas;Total;;34.93358;28.77288;41.34789
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2015;Colombia;Región de las Américas;Hombres;;35.77214;29.53291;42.17851
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2015;Colombia;Región de las Américas;Mujeres;;34.13596;28.05311;40.55582
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2016;Colombia;Región de las Américas;Total;;35.37471;28.8948;42.1141
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2016;Colombia;Región de las Américas;Hombres;;36.22077;29.6921;42.94751
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2016;Colombia;Región de las Américas;Mujeres;;34.55636;28.12649;41.30588
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2017;Colombia;Región de las Américas;Total;;34.70891;27.03406;42.60282
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2017;Colombia;Región de las Américas;Hombres;;35.78227;27.81667;43.82579
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2017;Colombia;Región de las Américas;Mujeres;;33.67754;26.29054;41.4162
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2018;Colombia;Región de las Américas;Total;;33.9622;25.14418;43.05032
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2018;Colombia;Región de las Américas;Hombres;;34.93959;25.77082;44.26806
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2018;Colombia;Región de las Américas;Mujeres;;33.01237;24.54295;41.85112
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2019;Colombia;Región de las Américas;Total;;33.62528;24.2657;43.3959
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2019;Colombia;Región de las Américas;Hombres;;34.66025;24.90935;44.71828
Las enfermedades no transmisibles;Porcentaje de las muertes por ENT que se producen antes de la edad de 70 años;2019;Colombia;Región de las Américas;Mujeres;;32.61301;23.645;42.08199
Las enfermedades no transmisibles;Tasa de mortalidad debida a las ENT estandarizada por edades;2000;Colombia;Región de las Américas;Total;;422.4111;sin datos;sin datos
Las enfermedades no transmisibles;Tasa de mortalidad debida a las ENT estandarizada por edades;2000;Colombia;Región de las Américas;Hombres;;465.7011;sin datos;sin datos
Las enfermedades no transmisibles;Tasa de mortalidad debida a las ENT estandarizada por edades;2000;Colombia;Región de las Américas;Mujeres;;388.7891;sin datos;sin datos
